SFM Id,Allergens,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98
35770, Ingredient 1598, Ingredient 1601, Ingredient 1610, Ingredient 4928, Ingredient 9298, Ingredient 10541, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36930, Ingredient 62, Ingredient 201, Ingredient 215, Ingredient 607, Ingredient 614, Ingredient 1107, Ingredient 1406, Ingredient 1589, Ingredient 1592, Ingredient 1596, Ingredient 1605, Ingredient 1989, Ingredient 1997, Ingredient 2023, Ingredient 3799, Ingredient 5236, Ingredient 5405, Ingredient 5467, Ingredient 5986, Ingredient 6416, Ingredient 7737, Ingredient 9276, Ingredient 9314, Ingredient 9335, Ingredient 13891, Ingredient 24061, Ingredient 28559, Ingredient 38080, Ingredient 61707, Ingredient 83935, Ingredient 96771, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37324, Ingredient 65964, Ingredient 201, Ingredient 799, Ingredient 1598, Ingredient 1990, Ingredient 9305, Ingredient 9314, Ingredient 9346, Ingredient 81751, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37522, Ingredient 144962, Ingredient 1605, Ingredient 2269, Ingredient 9338, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37937, Ingredient 1598, Ingredient 2028, Ingredient 2030, Ingredient 2292, Ingredient 6659, Ingredient 7651, Ingredient 124, Ingredient 257, Ingredient 1107, Ingredient 1406, Ingredient 2042, Ingredient 4550, Ingredient 5272, Ingredient 8140, Ingredient 80, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38240, Ingredient 201, Ingredient 1586, Ingredient 144962, Ingredient 1600, Ingredient 1605, Ingredient 1613, Ingredient 24061, Ingredient 2350, Ingredient 3799, Ingredient 5467, Ingredient 7454, Ingredient 9300, Ingredient 12522, Ingredient 257, Ingredient 35361, Ingredient 800, Ingredient 1616, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38474, Ingredient 201, Ingredient 215, Ingredient 240, Ingredient 257, Ingredient 1592, Ingredient 1598, Ingredient 1600, Ingredient 1605, Ingredient 1609, Ingredient 1613, Ingredient 1827, Ingredient 2853, Ingredient 3799, Ingredient 5236, Ingredient 5467, Ingredient 21339, Ingredient 28559, Ingredient 35361, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39079, Ingredient 201, Ingredient 213, Ingredient 215, Ingredient 1600, Ingredient 1605, Ingredient 1827, Ingredient 3799, Ingredient 5236, Ingredient 5467, Ingredient 7529, Ingredient 28559, Ingredient 35361, Ingredient 65964, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39546, Ingredient 124, Ingredient 1589, Ingredient 1590, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41375, Ingredient 136, Ingredient 201, Ingredient 257, Ingredient 1598, Ingredient 144962, Ingredient 1605, Ingredient 1613, Ingredient 1804, Ingredient 2040, Ingredient 2042, Ingredient 3799, Ingredient 5467, Ingredient 6509, Ingredient 6841, Ingredient 7086, Ingredient 6096, Ingredient 11661, Ingredient 35361, Ingredient 1601, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41937, Ingredient 201, Ingredient 257, Ingredient 800, Ingredient 1153, Ingredient 1592, Ingredient 1601, Ingredient 1605, Ingredient 1997, Ingredient 2040, Ingredient 2383, Ingredient 3793, Ingredient 3799, Ingredient 5236, Ingredient 5467, Ingredient 8033, Ingredient 5374, Ingredient 9338, Ingredient 9346, Ingredient 5986, Ingredient 11661, Ingredient 35361, Ingredient 1804, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45872, Ingredient 9298, Ingredient 134800, Ingredient 185, Ingredient 2042, Ingredient 5500, Ingredient 7651, Ingredient 28559, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49146, Ingredient 2012, Ingredient 2046, Ingredient 24039, Ingredient 81750, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49507, Ingredient 94128, Ingredient 2737, Ingredient 124, Ingredient 149, Ingredient 213, Ingredient 215, Ingredient 2053, Ingredient 257, Ingredient 459, Ingredient 614, Ingredient 1406, Ingredient 1453, Ingredient 5560, Ingredient 1589, Ingredient 1598, Ingredient 1613, Ingredient 1826, Ingredient 1986, Ingredient 1997, Ingredient 12522, Ingredient 24061, Ingredient 2040, Ingredient 3799, Ingredient 5236, Ingredient 5405, Ingredient 5467, Ingredient 6416, Ingredient 7737, Ingredient 8033, Ingredient 5374, Ingredient 8723, Ingredient 9298, Ingredient 9365, Ingredient 11661, Ingredient 13891, Ingredient 26803, Ingredient 93499, Ingredient 38080, Ingredient 61707, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51227, Ingredient 9314, Ingredient 9346, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52280, Ingredient 614, Ingredient 144962, Ingredient 1826, Ingredient 1827, Ingredient 1967, Ingredient 3222, Ingredient 5443, Ingredient 5468, Ingredient 5986, Ingredient 134800, Ingredient 9298, Ingredient 9312, Ingredient 9346, Ingredient 136, Ingredient 134800, Ingredient 134800, Ingredient 134800, Ingredient 61707, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52472, Ingredient 9308, Ingredient 9337, Ingredient 9346, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53154, Ingredient 124, Ingredient 240, Ingredient 800, Ingredient 7086, Ingredient 9276, Ingredient 9300, Ingredient 9314, Ingredient 9348, Ingredient 134800, Ingredient 28559, Ingredient 1586, Ingredient 44465, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53429, Ingredient 94128, Ingredient 2737, Ingredient 201, Ingredient 6927, Ingredient 5560, Ingredient 1598, Ingredient 1605, Ingredient 1826, Ingredient 1827, Ingredient 1997, Ingredient 3799, Ingredient 5538, Ingredient 5467, Ingredient 6020, Ingredient 9276, Ingredient 9277, Ingredient 9298, Ingredient 9346, Ingredient 26803, Ingredient 35361, Ingredient 65964, Ingredient 68258, Ingredient 73771, Ingredient 8033, Ingredient 1589, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54118, Ingredient 201, Ingredient 204, Ingredient 144962, Ingredient 9315, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54790, Ingredient 201, Ingredient 229, Ingredient 230, Ingredient 240, Ingredient 459, Ingredient 680, Ingredient 1149, Ingredient 1602, Ingredient 1605, Ingredient 1616, Ingredient 1802, Ingredient 1826, Ingredient 1827, Ingredient 1893, Ingredient 1996, Ingredient 1997, Ingredient 2737, Ingredient 3799, Ingredient 4617, Ingredient 4851, Ingredient 5236, Ingredient 5467, Ingredient 5538, Ingredient 5560, Ingredient 8899, Ingredient 9341, Ingredient 10539, Ingredient 11661, Ingredient 35361, Ingredient 83935, Ingredient 94128, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56078, Ingredient 185, Ingredient 201, Ingredient 205, Ingredient 215, Ingredient 607, Ingredient 608, Ingredient 1605, Ingredient 3799, Ingredient 4617, Ingredient 5248, Ingredient 5467, Ingredient 6020, Ingredient 7454, Ingredient 9315, Ingredient 35361, Ingredient 65964, Ingredient 61707, Ingredient 83935, Ingredient 9342, Ingredient 6841, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57317, Ingredient 240, Ingredient 1592, Ingredient 144962, Ingredient 2819, Ingredient 9298, Ingredient 1589, Ingredient 1597, Ingredient 2023, Ingredient 9375, Ingredient 26137, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57989, Ingredient 201, Ingredient 607, Ingredient 800, Ingredient 1453, Ingredient 1601, Ingredient 1605, Ingredient 1615, Ingredient 2042, Ingredient 5467, Ingredient 9298, Ingredient 24050, Ingredient 35361, Ingredient 61707, Ingredient 83935, Ingredient 1997, Ingredient 9351, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58297, Ingredient 201, Ingredient 1605, Ingredient 2040, Ingredient 6390, Ingredient 5405, Ingredient 5467, Ingredient 6416, Ingredient 7737, Ingredient 8033, Ingredient 13891, Ingredient 24039, Ingredient 24050, Ingredient 93499, Ingredient 35361, Ingredient 38080, Ingredient 83935, Ingredient 7044, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58551, Ingredient 459, Ingredient 1609, Ingredient 3793, Ingredient 9355, Ingredient 9338, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60772, Ingredient 201, Ingredient 800, Ingredient 1605, Ingredient 12522, Ingredient 24061, Ingredient 2040, Ingredient 6390, Ingredient 5405, Ingredient 5467, Ingredient 6020, Ingredient 6416, Ingredient 6841, Ingredient 7737, Ingredient 9357, Ingredient 13891, Ingredient 24050, Ingredient 93499, Ingredient 35361, Ingredient 38080, Ingredient 65964, Ingredient 83935, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61940, Ingredient 124, Ingredient 201, Ingredient 257, Ingredient 608, Ingredient 800, Ingredient 1595, Ingredient 1601, Ingredient 1605, Ingredient 1827, Ingredient 1997, Ingredient 2042, Ingredient 3601, Ingredient 5467, Ingredient 9315, Ingredient 29502, Ingredient 33710, Ingredient 35361, Ingredient 61707, Ingredient 83935, Ingredient 94128, Ingredient 2023, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62523, Ingredient 201, Ingredient 257, Ingredient 1605, Ingredient 1805, Ingredient 2020, Ingredient 2023, Ingredient 2040, Ingredient 2042, Ingredient 3793, Ingredient 4185, Ingredient 4617, Ingredient 4851, Ingredient 5236, Ingredient 5405, Ingredient 5467, Ingredient 6416, Ingredient 7737, Ingredient 13891, Ingredient 24061, Ingredient 35361, Ingredient 38080, Ingredient 83935, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63187, Ingredient 124, Ingredient 201, Ingredient 257, Ingredient 800, Ingredient 1589, Ingredient 1601, Ingredient 1604, Ingredient 1605, Ingredient 1804, Ingredient 1805, Ingredient 1827, Ingredient 1979, Ingredient 2008, Ingredient 2023, Ingredient 2040, Ingredient 2042, Ingredient 2350, Ingredient 5405, Ingredient 5467, Ingredient 6020, Ingredient 6416, Ingredient 6841, Ingredient 7086, Ingredient 7737, Ingredient 7946, Ingredient 106344, Ingredient 9298, Ingredient 9305, Ingredient 13891, Ingredient 24061, Ingredient 28559, Ingredient 33172, Ingredient 35361, Ingredient 38080, Ingredient 61707, Ingredient 83935, Ingredient 94128, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63292, Ingredient 2023, Ingredient 2046, Ingredient 26137, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63532, Ingredient 124, Ingredient 201, Ingredient 257, Ingredient 800, Ingredient 1586, Ingredient 1605, Ingredient 2008, Ingredient 2042, Ingredient 4617, Ingredient 5467, Ingredient 6020, Ingredient 6509, Ingredient 9298, Ingredient 9305, Ingredient 33172, Ingredient 35361, Ingredient 41609, Ingredient 61707, Ingredient 68271, Ingredient 83935, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63890, Ingredient 800, Ingredient 26014, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65095, Ingredient 1589, Ingredient 1605, Ingredient 24061, Ingredient 28559, Ingredient 44465, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65216, Ingredient 203, Ingredient 1406, Ingredient 2023, Ingredient 9274, Ingredient 9375, Ingredient 26137, Ingredient 33172, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65502, Ingredient 201, Ingredient 607, Ingredient 1605, Ingredient 1827, Ingredient 2042, Ingredient 5467, Ingredient 6020, Ingredient 9342, Ingredient 68258, Ingredient 83935, Ingredient 95438, Ingredient 608, Ingredient 2040, Ingredient 5405, Ingredient 6390, Ingredient 6416, Ingredient 7737, Ingredient 106344, Ingredient 9296, Ingredient 13891, Ingredient 38080, Ingredient 1601, Ingredient 1804, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66220, Ingredient 201, Ingredient 459, Ingredient 1604, Ingredient 1605, Ingredient 1610, Ingredient 1827, Ingredient 2350, Ingredient 5236, Ingredient 5467, Ingredient 7086, Ingredient 11996, Ingredient 65964, Ingredient 83935, Ingredient 95438, Ingredient 4249, Ingredient 6020, Ingredient 24061, Ingredient 61707, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66856, Ingredient 144962, Ingredient 1609, Ingredient 3793, Ingredient 9298, Ingredient 9314, Ingredient 9337, Ingredient 41609, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67090, Ingredient 608, Ingredient 9298, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67135, Ingredient 124, Ingredient 201, Ingredient 614, Ingredient 800, Ingredient 1589, Ingredient 1605, Ingredient 1613, Ingredient 3799, Ingredient 5467, Ingredient 7454, Ingredient 9276, Ingredient 24050, Ingredient 24061, Ingredient 33172, Ingredient 68271, Ingredient 83935, Ingredient 96771, Ingredient 6020, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67583, Ingredient 240, Ingredient 3793, Ingredient 9298, Ingredient 24039, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68212, Ingredient 1406, Ingredient 1605, Ingredient 61707, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69598, Ingredient 62, Ingredient 1496, Ingredient 2023, Ingredient 5986, Ingredient 9116, Ingredient 9300, Ingredient 9308, Ingredient 10541, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69799, Ingredient 3222, Ingredient 3793, Ingredient 2044, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69872, Ingredient 201, Ingredient 800, Ingredient 1598, Ingredient 1600, Ingredient 1605, Ingredient 1827, Ingredient 1997, Ingredient 5236, Ingredient 5405, Ingredient 5467, Ingredient 6416, Ingredient 7737, Ingredient 106344, Ingredient 13891, Ingredient 26803, Ingredient 28559, Ingredient 38080, Ingredient 95438, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69985, Ingredient 1598, Ingredient 9308, Ingredient 9314, Ingredient 44465, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70596, Ingredient 201, Ingredient 257, Ingredient 1588, Ingredient 1590, Ingredient 1598, Ingredient 1600, Ingredient 1604, Ingredient 1605, Ingredient 1613, Ingredient 1997, Ingredient 2023, Ingredient 2042, Ingredient 5405, Ingredient 5467, Ingredient 6416, Ingredient 7086, Ingredient 7737, Ingredient 13891, Ingredient 23944, Ingredient 26803, Ingredient 38080, Ingredient 83935, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70716, Ingredient 201, Ingredient 607, Ingredient 1596, Ingredient 1605, Ingredient 1613, Ingredient 2012, Ingredient 2013, Ingredient 2049, Ingredient 2292, Ingredient 2350, Ingredient 3799, Ingredient 5467, Ingredient 9276, Ingredient 11661, Ingredient 20359, Ingredient 24050, Ingredient 41716, Ingredient 61707, Ingredient 83935, Ingredient 96771, Ingredient 1600, Ingredient 5405, Ingredient 6416, Ingredient 7737, Ingredient 13891, Ingredient 23944, Ingredient 38080, Ingredient 121146, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70751, Ingredient 80, Ingredient 5500, Ingredient 201, Ingredient 1588, Ingredient 1605, Ingredient 5236, Ingredient 5467, Ingredient 28559, Ingredient 83935, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
